metric,model,epoch,split,N_samples,MPJPE,PA_MPJPE,AUC_3D_0_0.5,AUC_3D_PA_0_0.5,PCK_3D_0.05,PCK_3D_0.10,PCK_3D_0.20,Bone_length_err,MPJPE_mm,PA_MPJPE_mm,AUC_3D_0_50mm,AUC_3D_PA_0_50mm,PCK_3D_20mm,PCK_3D_30mm,PCK_3D_50mm,Bone_length_err_mm,MEPE_2D_px,AUC_2D_0_30px,PCK_2D_2px,PCK_2D_5px,PCK_2D_10px,PCK_2D_15px,joint_Wrist,joint_Wrist_mm,joint_Idx-MCP,joint_Idx-MCP_mm,joint_Idx-PIP,joint_Idx-PIP_mm,joint_Idx-DIP,joint_Idx-DIP_mm,joint_Idx-Tip,joint_Idx-Tip_mm,joint_Mid-MCP,joint_Mid-MCP_mm,joint_Mid-PIP,joint_Mid-PIP_mm,joint_Mid-DIP,joint_Mid-DIP_mm,joint_Mid-Tip,joint_Mid-Tip_mm,joint_Rng-MCP,joint_Rng-MCP_mm,joint_Rng-PIP,joint_Rng-PIP_mm,joint_Rng-DIP,joint_Rng-DIP_mm,joint_Rng-Tip,joint_Rng-Tip_mm,joint_Pnk-MCP,joint_Pnk-MCP_mm,joint_Pnk-PIP,joint_Pnk-PIP_mm,joint_Pnk-DIP,joint_Pnk-DIP_mm,joint_Pnk-Tip,joint_Pnk-Tip_mm,joint_Thm-CMC,joint_Thm-CMC_mm,joint_Thm-MCP,joint_Thm-MCP_mm,joint_Thm-IP,joint_Thm-IP_mm,joint_Thm-Tip,joint_Thm-Tip_mm
aggregate,.\sdf_best_model.pt,94,val,3256,0.167276,0.099862,0.685491,0.802616,13.0572,36.9106,73.5814,0.030639,14.8057,8.8429,0.718232,0.82444,78.8537,91.2762,97.505,2.7109,3.592982,0.880466,32.9648,80.401,95.7895,98.596,0.0,0.0,0.078191,6.922,0.121954,10.7884,0.158681,14.0516,0.239683,21.2234,0.111409,9.8308,0.150072,13.2558,0.19025,16.8058,0.263234,23.2392,0.117809,10.4082,0.156131,13.8209,0.194575,17.2358,0.261945,23.1976,0.124537,11.02,0.15449,13.6747,0.189996,16.8281,0.245855,21.7879,0.13742,12.1689,0.166693,14.768,0.198204,17.5671,0.251671,22.325

metric,joint_idx,joint_name,MPJPE_3D,MPJPE_3D_mm
per_joint,0,Wrist,0.0,0.0
per_joint,1,Idx-MCP,0.078191,6.922
per_joint,2,Idx-PIP,0.121954,10.7884
per_joint,3,Idx-DIP,0.158681,14.0516
per_joint,4,Idx-Tip,0.239683,21.2234
per_joint,5,Mid-MCP,0.111409,9.8308
per_joint,6,Mid-PIP,0.150072,13.2558
per_joint,7,Mid-DIP,0.19025,16.8058
per_joint,8,Mid-Tip,0.263234,23.2392
per_joint,9,Rng-MCP,0.117809,10.4082
per_joint,10,Rng-PIP,0.156131,13.8209
per_joint,11,Rng-DIP,0.194575,17.2358
per_joint,12,Rng-Tip,0.261945,23.1976
per_joint,13,Pnk-MCP,0.124537,11.02
per_joint,14,Pnk-PIP,0.15449,13.6747
per_joint,15,Pnk-DIP,0.189996,16.8281
per_joint,16,Pnk-Tip,0.245855,21.7879
per_joint,17,Thm-CMC,0.13742,12.1689
per_joint,18,Thm-MCP,0.166693,14.768
per_joint,19,Thm-IP,0.198204,17.5671
per_joint,20,Thm-Tip,0.251671,22.325
